Time (s);FP1;FP2;F3;F4;F7;F8;Sampling Rate
2.7539062500e-001;-4.5349320743e-008;3.1094182784e-009;-5.2978975873e-008;-2.4253877129e-008;-4.9876330621e-008;-6.9398275571e-008;
2.7929687500e-001;-4.5362639867e-008;3.0893687608e-009;-5.3101889108e-008;-2.4314719127e-008;-4.9892779685e-008;-6.9528830693e-008;
2.8320312500e-001;-4.5363556467e-008;3.0787068450e-009;-5.3112149345e-008;-2.4347196259e-008;-4.9959322013e-008;-6.9615154530e-008;
2.8710937500e-001;-4.5361279177e-008;3.0798692485e-009;-5.3134051825e-008;-2.4380097940e-008;-5.0018734044e-008;-6.9711852291e-008;
2.9199218750e-001;-4.5350883937e-008;3.0939508733e-009;-5.3146411716e-008;-2.4407254884e-008;-5.0065917634e-008;-6.9819293458e-008;
2.9589843750e-001;-4.5351377764e-008;3.1008127177e-009;-5.3195631011e-008;-2.4450550029e-008;-5.0104585370e-008;-6.9942274195e-008;
2.9980468750e-001;-4.5345675659e-008;3.1094629094e-009;-5.3241564046e-008;-2.4468834070e-008;-5.0122377360e-008;-7.0025485854e-008;
3.0371093750e-001;-4.5329493048e-008;3.1170401815e-009;-5.3273549128e-008;-2.4479831495e-008;-5.0127294315e-008;-7.0094600346e-008;
3.0761718750e-001;-4.5317623432e-008;3.1205940054e-009;-5.3282334989e-008;-2.4489128947e-008;-5.0145064989e-008;-7.0176675138e-008;
3.1152343750e-001;-4.5302829932e-008;3.1341169660e-009;-5.3312017911e-008;-2.4509335006e-008;-5.0170257282e-008;-7.0281593878e-008;
3.1542968750e-001;-4.5281126404e-008;3.1537192857e-009;-5.3326164817e-008;-2.4515706798e-008;-5.0178304178e-008;-7.0370418825e-008;
3.1933593750e-001;-4.5268158999e-008;3.1711313575e-009;-5.3344987094e-008;-2.4524981157e-008;-5.0201883539e-008;-7.0450731471e-008;
3.2324218750e-001;-4.5273726101e-008;3.1661244737e-009;-5.3393556243e-008;-2.4544025479e-008;-5.0227029647e-008;-7.0538284547e-008;
3.2714843750e-001;-4.5260247106e-008;3.1694997737e-009;-5.3440093239e-008;-2.4571630064e-008;-5.0238988081e-008;-7.0618213499e-008;
3.3105468750e-001;-4.5265746706e-008;3.1825977409e-009;-5.3458062865e-008;-2.4571809476e-008;-5.0252310757e-008;-7.0653840112e-008;
3.3593750000e-001;-4.5279850980e-008;3.1918738763e-009;-5.3448140136e-008;-2.4545478539e-008;-5.0255305695e-008;-7.0653193518e-008;
3.3984375000e-001;-4.5281147720e-008;3.1898621522e-009;-5.3433385716e-008;-2.4544069888e-008;-5.0255973605e-008;-7.0681601017e-008;
3.4375000000e-001;-4.5254616055e-008;3.2166618258e-009;-5.3415796231e-008;-2.4531642495e-008;-5.0247415118e-008;-7.0694945009e-008;
3.4765625000e-001;-4.5265476700e-008;3.2052624999e-009;-5.3420890822e-008;-2.4551983557e-008;-5.0263285090e-008;-7.0720652445e-008;
3.5156250000e-001;-4.5257053216e-008;3.2119233939e-009;-5.3356565388e-008;-2.4528468145e-008;-5.0244238992e-008;-7.0676684061e-008;
3.5546875000e-001;-4.5250725833e-008;3.2159912511e-009;-5.3298538916e-008;-2.4506764618e-008;-5.0227363602e-008;-7.0647850237e-008;
3.5937500000e-001;-4.5252470215e-008;3.2037426045e-009;-5.3251266507e-008;-2.4505915519e-008;-5.0223118109e-008;-7.0638755290e-008;
3.6328125000e-001;-4.5246704161e-008;3.2072517975e-009;-5.3202089845e-008;-2.4498628903e-008;-5.0205212432e-008;-7.0608805913e-008;
3.6718750000e-001;-4.5257387171e-008;3.2023343977e-009;-5.3148109913e-008;-2.4478758576e-008;-5.0169763455e-008;-7.0542107267e-008;
3.7109375000e-001;-4.5307523067e-008;3.2026026275e-009;-5.3122072075e-008;-2.4457278869e-008;-5.0140929631e-008;-7.0486876780e-008;
3.7597656250e-001;-4.5375472268e-008;3.2067599687e-009;-5.3097441111e-008;-2.4435060197e-008;-5.0128303286e-008;-7.0438147759e-008;
3.7988281250e-001;-4.5388098613e-008;3.2038096620e-009;-5.3067243044e-008;-2.4425583334e-008;-5.0103132310e-008;-7.0397959462e-008;
3.8378906250e-001;-4.5383831804e-008;3.1952711588e-009;-5.2996320221e-008;-2.4400929277e-008;-5.0061292001e-008;-7.0322208501e-008;
3.8769531250e-001;-4.5387853476e-008;3.1827542823e-009;-5.2939032713e-008;-2.4379472663e-008;-5.0026912390e-008;-7.0265926411e-008;
3.9160156250e-001;-4.5375784907e-008;3.1940865508e-009;-5.2876625745e-008;-2.4342234894e-008;-4.9981853323e-008;-7.0204791314e-008;
3.9550781250e-001;-4.5400415871e-008;3.1740818862e-009;-5.2847457965e-008;-2.4350795158e-008;-4.9970832805e-008;-7.0173101108e-008;
3.9941406250e-001;-4.5379316305e-008;3.1847435800e-009;-5.2777988202e-008;-2.4303721702e-008;-4.9922842749e-008;-7.0069432923e-008;
4.0332031250e-001;-4.5335575294e-008;3.2098446123e-009;-5.2706752740e-008;-2.4242298835e-008;-4.9865334972e-008;-6.9950274906e-008;
4.0722656250e-001;-4.5325851517e-008;3.2039884079e-009;-5.2683173379e-008;-2.4216818773e-008;-4.9851809791e-008;-6.9885949472e-008;
4.1113281250e-001;-4.5356561174e-008;3.1358826647e-009;-5.2715023457e-008;-2.4257431619e-008;-4.9874543606e-008;-6.9884201537e-008;
4.1503906250e-001;-4.5289059614e-008;3.1320157579e-009;-5.2676334406e-008;-2.4225894180e-008;-4.9839762539e-008;-6.9799781954e-008;
4.1992187500e-001;-4.5270283522e-008;3.1393918576e-009;-5.2644011816e-008;-2.4177234437e-008;-4.9801897717e-008;-6.9687594362e-008;
4.2382812500e-001;-4.5267064763e-008;3.1492266572e-009;-5.2614776536e-008;-2.4133356646e-008;-4.9763833943e-008;-6.9603039776e-008;
4.2773437500e-001;-4.5261881354e-008;3.1543676560e-009;-5.2609948398e-008;-2.4105350604e-008;-4.9736250674e-008;-6.9530933899e-008;
4.3164062500e-001;-4.5286959960e-008;3.1142908252e-009;-5.2625818370e-008;-2.4109283459e-008;-4.9720583206e-008;-6.9478652165e-008;
4.3554687500e-001;-4.5226027368e-008;3.1842966042e-009;-5.2562452169e-008;-2.4012010158e-008;-4.9634820698e-008;-6.9309542994e-008;
4.3945312500e-001;-4.5318877540e-008;3.0879605539e-009;-5.2620052315e-008;-2.4049672476e-008;-4.9669822033e-008;-6.9299836980e-008;
4.4335937500e-001;-4.5349988653e-008;3.0509237359e-009;-5.2649845372e-008;-2.4050073932e-008;-4.9671744051e-008;-6.9257438895e-008;
4.4726562500e-001;-4.5303387708e-008;3.1094853359e-009;-5.2622464608e-008;-2.3981522546e-008;-4.9612737030e-008;-6.9131530722e-008;
4.5117187500e-001;-4.5307366747e-008;3.1003881684e-009;-5.2595552802e-008;-2.3946675753e-008;-4.9555648474e-008;-6.9016685700e-008;
4.5507812500e-001;-4.5319815456e-008;3.0652511640e-009;-5.2602214140e-008;-2.3948530270e-008;-4.9522501655e-008;-6.8944402187e-008;
4.5996093750e-001;-4.5396035375e-008;2.9817897040e-009;-5.2655479976e-008;-2.3989390030e-008;-4.9545054281e-008;-6.8911255369e-008;
4.6386718750e-001;-4.5390425640e-008;2.9884505981e-009;-5.2661558669e-008;-2.3960668116e-008;-4.9522480339e-008;-6.8807430864e-008;
4.6777343750e-001;-4.5408327765e-008;2.9739890550e-009;-5.2629104630e-008;-2.3927855253e-008;-4.9485734621e-008;-6.8674886222e-008;
4.7167968750e-001;-4.5394468629e-008;2.9799120949e-009;-5.2598036149e-008;-2.3898417467e-008;-4.9437968386e-008;-6.8557540089e-008;
4.7558593750e-001;-4.5379785263e-008;2.9986206851e-009;-5.2560597652e-008;-2.3846450148e-008;-4.9385107559e-008;-6.8427382871e-008;
4.7949218750e-001;-4.5422275718e-008;2.9568898441e-009;-5.2586749177e-008;-2.3872422261e-008;-4.9381640110e-008;-6.8366318828e-008;
4.8339843750e-001;-4.5426389761e-008;2.9472786434e-009;-5.2553890129e-008;-2.3847634978e-008;-4.9348784614e-008;-6.8255900487e-008;
4.8730468750e-001;-4.5410160965e-008;2.9420259562e-009;-5.2497789227e-008;-2.3817548822e-008;-4.9304528460e-008;-6.8157532951e-008;
4.9121093750e-001;-4.5391811199e-008;2.9481279640e-009;-5.2435382258e-008;-2.3772152247e-008;-4.9248736644e-008;-6.8058582769e-008;
4.9511718750e-001;-4.5435978535e-008;2.9163214066e-009;-5.2434756981e-008;-2.3792001258e-008;-4.9246168032e-008;-6.8031710043e-008;
4.9902343750e-001;-4.5482558164e-008;2.8709250532e-009;-5.2445372489e-008;-2.3834470397e-008;-4.9243819689e-008;-6.7986498209e-008;
5.0390625000e-001;-4.5504663149e-008;2.8629902893e-009;-5.2441887277e-008;-2.3834022755e-008;-4.9234881061e-008;-6.7901623879e-008;
5.0781250000e-001;-4.5522813963e-008;2.8354527615e-009;-5.2467232337e-008;-2.3865515786e-008;-4.9242903088e-008;-6.7924538882e-008;
5.1171875000e-001;-4.5525787584e-008;2.8244333539e-009;-5.2482253210e-008;-2.3895289303e-008;-4.9242970590e-008;-6.7974916362e-008;
5.1562500000e-001;-4.5460520681e-008;2.8808269104e-009;-5.2482299395e-008;-2.3886034484e-008;-4.9230855836e-008;-6.7995500785e-008;
5.1953125000e-001;-4.5460787135e-008;2.8898345938e-009;-5.2525951588e-008;-2.3909146663e-008;-4.9272991021e-008;-6.8076104753e-008;
5.2343750000e-001;-4.5516017622e-008;2.8490874104e-009;-5.2629328451e-008;-2.3975889718e-008;-4.9352742337e-008;-6.8221190475e-008;
5.2734375000e-001;-4.5478959265e-008;2.8851407929e-009;-5.2705011910e-008;-2.4001236554e-008;-4.9398451551e-008;-6.8336589720e-008;
5.3125000000e-001;-4.5483719902e-008;2.8821680598e-009;-5.2774680626e-008;-2.4049001013e-008;-4.9451802653e-008;-6.8476715853e-008;
5.3515625000e-001;-4.5494068956e-008;2.8659183915e-009;-5.2830337438e-008;-2.4093459672e-008;-4.9498297017e-008;-6.8599874226e-008;
5.3906250000e-001;-4.5460854636e-008;2.8963613730e-009;-5.2872312750e-008;-2.4104835461e-008;-4.9526793333e-008;-6.8716460078e-008;
5.4394531250e-001;-4.5492484446e-008;2.8502498139e-009;-5.2964736597e-008;-2.4181995073e-008;-4.9597939977e-008;-6.8906651052e-008;
5.4785156250e-001;-4.5509626290e-008;2.8445723554e-009;-5.3039773462e-008;-2.4246009644e-008;-4.9665217716e-008;-6.9054060248e-008;
5.5175781250e-001;-4.5494537915e-008;2.8698521337e-009;-5.3056066207e-008;-2.4259488640e-008;-4.9700535243e-008;-6.9132937597e-008;
5.5566406250e-001;-4.5470578414e-008;2.8893205606e-009;-5.3084185936e-008;-2.4250056185e-008;-4.9734733665e-008;-6.9214230791e-008;
5.5957031250e-001;-4.5427842821e-008;2.9271174373e-009;-5.3108035303e-008;-2.4232218010e-008;-4.9740609853e-008;-6.9287722226e-008;
5.6347656250e-001;-4.5447489327e-008;2.8998259349e-009;-5.3183448756e-008;-2.4293596468e-008;-4.9789719014e-008;-6.9432161354e-008;
5.6738281250e-001;-4.5441790775e-008;2.9126558942e-009;-5.3195162053e-008;-2.4308841162e-008;-4.9802054036e-008;-6.9505226463e-008;
5.7128906250e-001;-4.5420399886e-008;2.9362592358e-009;-5.3185683413e-008;-2.4322162062e-008;-4.9817209913e-008;-6.9580131878e-008;
5.7519531250e-001;-4.5448494745e-008;2.9268267809e-009;-5.3214428419e-008;-2.4357053263e-008;-4.9862965312e-008;-6.9692447369e-008;
5.7910156250e-001;-4.5426165940e-008;2.9590581097e-009;-5.3222183993e-008;-2.4365993667e-008;-4.9873982277e-008;-6.9777186695e-008;
5.8398437500e-001;-4.5406988392e-008;2.9960054437e-009;-5.3197442895e-008;-2.4360652162e-008;-4.9871054841e-008;-6.9817460258e-008;
5.8789062500e-001;-4.5400170734e-008;3.0128586292e-009;-5.3210854389e-008;-2.4370084617e-008;-4.9891731635e-008;-6.9865649266e-008;
5.9179687500e-001;-4.5383696801e-008;2.9867071039e-009;-5.3233382147e-008;-2.4412329935e-008;-4.9898726928e-008;-6.9977588169e-008;
5.9570312500e-001;-4.5411614025e-008;2.9357452025e-009;-5.3271918432e-008;-2.4464297255e-008;-4.9930086732e-008;-7.0108349348e-008;
5.9960937500e-001;-4.5402426707e-008;2.9391649115e-009;-5.3251554277e-008;-2.4455802716e-008;-4.9914930855e-008;-7.0130298013e-008;
6.0351562500e-001;-4.5426521211e-008;2.8994460166e-009;-5.3258350619e-008;-2.4485128591e-008;-4.9933305490e-008;-7.0181862100e-008;
6.0742187500e-001;-4.5449521480e-008;2.8666335972e-009;-5.3287855906e-008;-2.4513425956e-008;-4.9952660675e-008;-7.0250685269e-008;
6.1132812500e-001;-4.5454036979e-008;2.8507192162e-009;-5.3317894100e-008;-2.4542796240e-008;-4.9954696379e-008;-7.0344739811e-008;
6.1523437500e-001;-4.5439644936e-008;2.8278532849e-009;-5.3313289783e-008;-2.4549033029e-008;-4.9953978731e-008;-7.0391742213e-008;
6.1914062500e-001;-4.5476994615e-008;2.7707669492e-009;-5.3341498329e-008;-2.4571585655e-008;-4.9975191985e-008;-7.0476325220e-008;
6.2304687500e-001;-4.5500037515e-008;2.7371052091e-009;-5.3386671084e-008;-2.4604084103e-008;-4.9982681105e-008;-7.0553660692e-008;
6.2792968750e-001;-4.5470958554e-008;2.7546736003e-009;-5.3361837615e-008;-2.4582426761e-008;-4.9953889913e-008;-7.0571900324e-008;
6.3183593750e-001;-4.5498541823e-008;2.6945474740e-009;-5.3355535101e-008;-2.4617495598e-008;-4.9961982995e-008;-7.0625610249e-008;
6.3574218750e-001;-4.5512667413e-008;2.6360083005e-009;-5.3314231252e-008;-2.4636852558e-008;-4.9961645487e-008;-7.0645796768e-008;
6.3964843750e-001;-4.5482043021e-008;2.6393833785e-009;-5.3259199717e-008;-2.4623329153e-008;-4.9959925974e-008;-7.0619037729e-008;
6.4355468750e-001;-4.5488079081e-008;2.6213677895e-009;-5.3242054321e-008;-2.4624961625e-008;-4.9960863890e-008;-7.0622952819e-008;
6.4746093750e-001;-4.5460073039e-008;2.6042912271e-009;-5.3224219698e-008;-2.4628089790e-008;-4.9937238344e-008;-7.0645192807e-008;
6.5136718750e-001;-4.5486068245e-008;2.5218578337e-009;-5.3216350437e-008;-2.4629208895e-008;-4.9925571233e-008;-7.0637142358e-008;
6.5527343750e-001;-4.5509693791e-008;2.5273563242e-009;-5.3235083897e-008;-2.4682002220e-008;-4.9901476729e-008;-7.0593756618e-008;
6.5917968750e-001;-4.5465391452e-008;2.5186839281e-009;-5.3226880681e-008;-2.4692038636e-008;-4.9879236741e-008;-7.0604642133e-008;
6.6308593750e-001;-4.5429114692e-008;2.5076420940e-009;-5.3223548235e-008;-2.4724783998e-008;-4.9869825602e-008;-7.0581108957e-008;
6.6796875000e-001;-4.5456296505e-008;2.4905206786e-009;-5.3177860337e-008;-2.4661371612e-008;-4.9823423609e-008;-7.0525807416e-008;
6.7187500000e-001;-4.5465057497e-008;2.5038646712e-009;-5.3154057156e-008;-2.4616355176e-008;-4.9796714308e-008;-7.0469887703e-008;
6.7578125000e-001;-4.5472546617e-008;2.4821165123e-009;-5.3165994274e-008;-2.4620065986e-008;-4.9792845402e-008;-7.0477980785e-008;
6.7968750000e-001;-4.5438213192e-008;2.4475830251e-009;-5.3174510128e-008;-2.4598721282e-008;-4.9778005717e-008;-7.0459762469e-008;
6.8359375000e-001;-4.5438948604e-008;2.4071264981e-009;-5.3142969136e-008;-2.4543243882e-008;-4.9756973652e-008;-7.0395991258e-008;
6.8750000000e-001;-4.5535465176e-008;2.3456143694e-009;-5.3147953594e-008;-2.4590695702e-008;-4.9713118955e-008;-7.0302228039e-008;
6.9140625000e-001;-4.5612800648e-008;2.3359807422e-009;-5.3263402577e-008;-2.4616557681e-008;-4.9660076940e-008;-7.0348335157e-008;
6.9531250000e-001;-4.5408103944e-008;2.3840147634e-009;-5.3251511645e-008;-2.4524824838e-008;-4.9600419771e-008;-7.0273237895e-008;
6.9921875000e-001;-4.5386311598e-008;2.4122897013e-009;-5.3062684913e-008;-2.4491477291e-008;-4.9583814388e-008;-7.0165100396e-008;
7.0312500000e-001;-4.5420801342e-008;2.4261030962e-009;-5.3112461984e-008;-2.4524178244e-008;-4.9582002504e-008;-7.0104121619e-008;
7.0703125000e-001;-4.5373504065e-008;2.4320039316e-009;-5.3062237271e-008;-2.4513470365e-008;-4.9574961025e-008;-7.0008056241e-008;
7.1191406250e-001;-4.5363712786e-008;2.3646358205e-009;-5.3014627355e-008;-2.4449164471e-008;-4.9574961025e-008;-6.9955127913e-008;
